signing_date,publication_date,executive_order_number,title,Generated_Initial_Codes,Finalized_Theme_Name,Theme_Confidence_Score,citation,document_number,end_page,html_url,pdf_url,type,subtype,start_page,disposition_notes,not_received_for_publication
2025-02-04,2025-02-10,14199,Withdrawing the United States From and Ending Funding to Certain United Nations Organizations and Reviewing United States Support to All International Organizations,International Affairs,Foreign Policy and External Relations,1,90 FR 9275,2025-02504,9276,https://www.federalregister.gov/documents/2025/02/10/2025-02504/withdrawing-the-united-states-from-and-ending-funding-to-certain-united-nations-organizations-and,https://www.govinfo.gov/content/pkg/FR-2025-02-10/pdf/2025-02504.pdf,Presidential Document,Executive Order,9275,"See: Memo. of January 7, 2025",
2025-02-05,2025-02-11,14200,Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China,International Affairs; Law Crime,Foreign Policy and External Relations,0.95,90 FR 9277,2025-02512,9278,https://www.federalregister.gov/documents/2025/02/11/2025-02512/amendment-to-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china,https://www.govinfo.gov/content/pkg/FR-2025-02-11/pdf/2025-02512.pdf,Presidential Document,Executive Order,9277,"See: EO 14195, February 1, 2025; EO 14228, March 3, 2025; EO 14256, April 2, 2025; EO 14324, July 30, 2025",
2025-02-05,2025-02-11,14201,Keeping Men Out of Women's Sports,Civil Rights,"Civil Rights, Equality, and Gender Policy",1,90 FR 9279,2025-02513,9281,https://www.federalregister.gov/documents/2025/02/11/2025-02513/keeping-men-out-of-womens-sports,https://www.govinfo.gov/content/pkg/FR-2025-02-11/pdf/2025-02513.pdf,Presidential Document,Executive Order,9279,"See: EO 14168, January 20, 2025; Proc. 10943, May 24, 2025",
2025-02-06,2025-02-12,14202,Eradicating Anti-Christian Bias,Civil Rights,"Civil Rights, Equality, and Gender Policy",1,90 FR 9365,2025-02611,9368,https://www.federalregister.gov/documents/2025/02/12/2025-02611/eradicating-anti-christian-bias,https://www.govinfo.gov/content/pkg/FR-2025-02-12/pdf/2025-02611.pdf,Presidential Document,Executive Order,9365,,
2025-02-06,2025-02-12,14203,Imposing Sanctions on the International Criminal Court,International Affairs,Foreign Policy and External Relations,1,90 FR 9369,2025-02612,9373,https://www.federalregister.gov/documents/2025/02/12/2025-02612/imposing-sanctions-on-the-international-criminal-court,https://www.govinfo.gov/content/pkg/FR-2025-02-12/pdf/2025-02612.pdf,Presidential Document,Executive Order,9369,"See: Proc. 8693, July 24, 2011; Notice of January 20, 2026 (91 FR 3311)",
2025-02-07,2025-02-12,14204,Addressing Egregious Actions of the Republic of South Africa,International Affairs,Foreign Policy and External Relations,1,90 FR 9497,2025-02630,9498,https://www.federalregister.gov/documents/2025/02/12/2025-02630/addressing-egregious-actions-of-the-republic-of-south-africa,https://www.govinfo.gov/content/pkg/FR-2025-02-12/pdf/2025-02630.pdf,Presidential Document,Executive Order,9497,"See: Presidential Determination 2025-13, September 30, 2025",
2025-02-07,2025-02-12,14205,Establishment of the White House Faith Office,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 9499,2025-02635,9501,https://www.federalregister.gov/documents/2025/02/12/2025-02635/establishment-of-the-white-house-faith-office,https://www.govinfo.gov/content/pkg/FR-2025-02-12/pdf/2025-02635.pdf,Presidential Document,Executive Order,9499,"See: EO 13198, January 29, 2001; EO 13280, December 12, 2002; EO 13342, June 1, 2004; EO 13397, March 7, 2006; EO 13559, November 17, 2010
 Amends: EO 13279, December 12, 2002; EO 13280, December 12, 2002; EO 13342, June 1, 2004; EO 13397, March 7, 2006",
2025-02-07,2025-02-12,14206,Protecting Second Amendment Rights,Civil Rights,"Civil Rights, Equality, and Gender Policy",1,90 FR 9503,2025-02636,9504,https://www.federalregister.gov/documents/2025/02/12/2025-02636/protecting-second-amendment-rights,https://www.govinfo.gov/content/pkg/FR-2025-02-12/pdf/2025-02636.pdf,Presidential Document,Executive Order,9503,,
2025-02-10,2025-02-14,14208,Ending Procurement and Forced Use of Paper Straws,Public Admin,Executive Coordination and Administrative Task Forces,0.99,90 FR 9585,2025-02735,9586,https://www.federalregister.gov/documents/2025/02/14/2025-02735/ending-procurement-and-forced-use-of-paper-straws,https://www.govinfo.gov/content/pkg/FR-2025-02-14/pdf/2025-02735.pdf,Presidential Document,Executive Order,9585,,
2025-02-10,2025-02-14,14207,Eliminating the Federal Executive Institute,Public Admin,Education and Higher-Ed Transparency,0.8,90 FR 9583,2025-02734,9584,https://www.federalregister.gov/documents/2025/02/14/2025-02734/eliminating-the-federal-executive-institute,https://www.govinfo.gov/content/pkg/FR-2025-02-14/pdf/2025-02734.pdf,Presidential Document,Executive Order,9583,,
2025-02-10,2025-02-14,14209,Pausing Foreign Corrupt Practices Act Enforcement To Further American Economic and National Security,International Affairs; Defense; Commerce,Foreign Policy and External Relations,0.89,90 FR 9587,2025-02736,9588,https://www.federalregister.gov/documents/2025/02/14/2025-02736/pausing-foreign-corrupt-practices-act-enforcement-to-further-american-economic-and-national-security,https://www.govinfo.gov/content/pkg/FR-2025-02-14/pdf/2025-02736.pdf,Presidential Document,Executive Order,9587,,
2025-02-11,2025-02-14,14210,"Implementing the President's ""Department of Government Efficiency"" Workforce Optimization Initiative",Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 9669,2025-02762,9671,https://www.federalregister.gov/documents/2025/02/14/2025-02762/implementing-the-presidents-department-of-government-efficiency-workforce-optimization-initiative,https://www.govinfo.gov/content/pkg/FR-2025-02-14/pdf/2025-02762.pdf,Presidential Document,Executive Order,9669,"See: EO 14158, January 20, 2025; EO 14170, January 20, 2025; Presidential Memorandum, January 20, 2025; EO 14356, October 15, 2025",
2025-02-12,2025-02-18,14211,One Voice for America's Foreign Relations,International Affairs,Foreign Policy and External Relations,1,90 FR 9831,2025-02841,9832,https://www.federalregister.gov/documents/2025/02/18/2025-02841/one-voice-for-americas-foreign-relations,https://www.govinfo.gov/content/pkg/FR-2025-02-18/pdf/2025-02841.pdf,Presidential Document,Executive Order,9831,,
2025-02-13,2025-02-19,14212,Establishing the President's Make America Healthy Again Commission,Health,"Health, Reproductive Care, and Medical Research",0.93,90 FR 9833,2025-02871,9836,https://www.federalregister.gov/documents/2025/02/19/2025-02871/establishing-the-presidents-make-america-healthy-again-commission,https://www.govinfo.gov/content/pkg/FR-2025-02-19/pdf/2025-02871.pdf,Presidential Document,Executive Order,9833,"See: EO 14355, September 30, 2025",
2025-02-14,2025-02-20,14213,Establishing the National Energy Dominance Council,Energy,Energy Development and Resource Expansion,1,90 FR 9945,2025-02928,9947,https://www.federalregister.gov/documents/2025/02/20/2025-02928/establishing-the-national-energy-dominance-council,https://www.govinfo.gov/content/pkg/FR-2025-02-20/pdf/2025-02928.pdf,Presidential Document,Executive Order,9945,,
2025-02-14,2025-02-20,14214,Keeping Education Accessible and Ending COVID-19 Vaccine Mandates in Schools,Education,"Health, Reproductive Care, and Medical Research",1,90 FR 9949,2025-02931,9950,https://www.federalregister.gov/documents/2025/02/20/2025-02931/keeping-education-accessible-and-ending-covid-19-vaccine-mandates-in-schools,https://www.govinfo.gov/content/pkg/FR-2025-02-20/pdf/2025-02931.pdf,Presidential Document,Executive Order,9949,,
2025-02-18,2025-02-24,14216,Expanding Access to In Vitro Fertilization,Health,"Health, Reproductive Care, and Medical Research",1,90 FR 10451,2025-03064,10452,https://www.federalregister.gov/documents/2025/02/24/2025-03064/expanding-access-to-in-vitro-fertilization,https://www.govinfo.gov/content/pkg/FR-2025-02-24/pdf/2025-03064.pdf,Presidential Document,Executive Order,10451,,
2025-02-18,2025-02-24,14215,Ensuring Accountability for All Agencies,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 10447,2025-03063,10449,https://www.federalregister.gov/documents/2025/02/24/2025-03063/ensuring-accountability-for-all-agencies,https://www.govinfo.gov/content/pkg/FR-2025-02-24/pdf/2025-03063.pdf,Presidential Document,Executive Order,10447,"Amends: EO 12866, September 30, 1993",
2025-02-19,2025-02-25,14217,Commencing the Reduction of the Federal Bureaucracy,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 10577,2025-03133,10579,https://www.federalregister.gov/documents/2025/02/25/2025-03133/commencing-the-reduction-of-the-federal-bureaucracy,https://www.govinfo.gov/content/pkg/FR-2025-02-25/pdf/2025-03133.pdf,Presidential Document,Executive Order,10577,"Revokes: Memo. of November 13, 1961; EO 13318, November 21, 2003
 Amends: EO 13562, December 27, 2010",
2025-02-19,2025-02-25,14218,Ending Taxpayer Subsidization of Open Borders,Immigration; Public Admin,"Public Order, Crime, and Border Enforcement",1,90 FR 10581,2025-03137,10582,https://www.federalregister.gov/documents/2025/02/25/2025-03137/ending-taxpayer-subsidization-of-open-borders,https://www.govinfo.gov/content/pkg/FR-2025-02-25/pdf/2025-03137.pdf,Presidential Document,Executive Order,10581,,
2025-02-19,2025-02-25,14219,"Ensuring Lawful Governance and Implementing the President's ""Department of Government Efficiency"" Deregulatory Initiative",Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 10583,2025-03138,10585,https://www.federalregister.gov/documents/2025/02/25/2025-03138/ensuring-lawful-governance-and-implementing-the-presidents-department-of-government-efficiency,https://www.govinfo.gov/content/pkg/FR-2025-02-25/pdf/2025-03138.pdf,Presidential Document,Executive Order,10583,"See: EO 12866, September 30, 1993; EO 13422, January 18, 2007; EO 14158, January 20, 2025; EO 14267, April 9, 2025",
2025-02-25,2025-02-28,14220,Addressing the Threat to National Security From Imports of Copper,International Affairs,"National Security, Defense, and Strategic Resilience",1,90 FR 11001,2025-03439,11003,https://www.federalregister.gov/documents/2025/02/28/2025-03439/addressing-the-threat-to-national-security-from-imports-of-copper,https://www.govinfo.gov/content/pkg/FR-2025-02-28/pdf/2025-03439.pdf,Presidential Document,Executive Order,11001,"See: Proc.10987, October 24, 2025",
2025-02-25,2025-02-28,14221,"Making America Healthy Again by Empowering Patients With Clear, Accurate, and Actionable Healthcare Pricing Information",Health,"Health, Reproductive Care, and Medical Research",1,90 FR 11005,2025-03440,11006,https://www.federalregister.gov/documents/2025/02/28/2025-03440/making-america-healthy-again-by-empowering-patients-with-clear-accurate-and-actionable-healthcare,https://www.govinfo.gov/content/pkg/FR-2025-02-28/pdf/2025-03440.pdf,Presidential Document,Executive Order,11005,"See: EO 14158, January 20, 2025",
2025-02-26,2025-03-03,14222,"Implementing the President's ""Department of Government Efficiency"" Cost Efficiency Initiative",Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 11095,2025-03527,11097,https://www.federalregister.gov/documents/2025/03/03/2025-03527/implementing-the-presidents-department-of-government-efficiency-cost-efficiency-initiative,https://www.govinfo.gov/content/pkg/FR-2025-03-03/pdf/2025-03527.pdf,Presidential Document,Executive Order,11095,"See: EO 14158, January 20, 2025",
2025-03-01,2025-03-06,14224,Designating English as the Official Language of the United States,Civil Rights,Executive Coordination and Administrative Task Forces,1,90 FR 11363,2025-03694,11364,https://www.federalregister.gov/documents/2025/03/06/2025-03694/designating-english-as-the-official-language-of-the-united-states,https://www.govinfo.gov/content/pkg/FR-2025-03-06/pdf/2025-03694.pdf,Presidential Document,Executive Order,11363,"Revokes: EO 13166, August 11, 2000
 See: EO 14286, April 28, 2025",
2025-03-01,2025-03-06,14223,"Addressing the Threat to National Security From Imports of Timber, Lumber, and Their Derivative Products",Defense,"National Security, Defense, and Strategic Resilience",1,90 FR 11359,2025-03693,11361,https://www.federalregister.gov/documents/2025/03/06/2025-03693/addressing-the-threat-to-national-security-from-imports-of-timber-lumber-and-their-derivative,https://www.govinfo.gov/content/pkg/FR-2025-03-06/pdf/2025-03693.pdf,Presidential Document,Executive Order,11359,,
2025-03-01,2025-03-06,14225,Immediate Expansion of American Timber Production,Public Lands,"Public Lands, Parks, and Timber Production",1,90 FR 11365,2025-03695,11367,https://www.federalregister.gov/documents/2025/03/06/2025-03695/immediate-expansion-of-american-timber-production,https://www.govinfo.gov/content/pkg/FR-2025-03-06/pdf/2025-03695.pdf,Presidential Document,Executive Order,11365,,
2025-03-02,2025-03-06,14226,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border,Law Crime,"Public Order, Crime, and Border Enforcement",1,90 FR 11369,2025-03728,11370,https://www.federalregister.gov/documents/2025/03/06/2025-03728/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border,https://www.govinfo.gov/content/pkg/FR-2025-03-06/pdf/2025-03728.pdf,Presidential Document,Executive Order,11369,"See: EO 14197, February 3, 2025; EO 14289, April 29, 2025; EO 14324, July 30, 2025
 Amends: EO 14193, February 1, 2025",
2025-03-02,2025-03-06,14227,Amendment to Duties To Address the Situation at Our Southern Border,Immigration,"Public Order, Crime, and Border Enforcement",1,90 FR 11371,2025-03729,11372,https://www.federalregister.gov/documents/2025/03/06/2025-03729/amendment-to-duties-to-address-the-situation-at-our-southern-border,https://www.govinfo.gov/content/pkg/FR-2025-03-06/pdf/2025-03729.pdf,Presidential Document,Executive Order,11371,"See: EO 14198, February 3, 2025; EO 14257, April 2, 2025; EO 14289, April 29, 2025; EO 14324, July 30, 2025
 Amends: EO 14194, February 1, 2025",
2025-03-03,2025-03-07,14228,Further Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China,Law Crime; International Affairs,Foreign Policy and External Relations,0.89,90 FR 11463,2025-03775,11464,https://www.federalregister.gov/documents/2025/03/07/2025-03775/further-amendment-to-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of,https://www.govinfo.gov/content/pkg/FR-2025-03-07/pdf/2025-03775.pdf,Presidential Document,Executive Order,11463,"See: EO 14200, February 5, 2025; EO 14256, April 2, 2025
 Amends: EO 14195, February 1, 2025",
2025-03-04,2025-03-10,14229,Honoring Jocelyn Nungaray,Public Admin,Family Support and Child Wellbeing,1,90 FR 11585,2025-03869,11586,https://www.federalregister.gov/documents/2025/03/10/2025-03869/honoring-jocelyn-nungaray,https://www.govinfo.gov/content/pkg/FR-2025-03-10/pdf/2025-03869.pdf,Presidential Document,Executive Order,11585,,
2025-03-06,2025-03-11,14230,Addressing Risks From Perkins Coie LLP,Law Crime,"Public Order, Crime, and Border Enforcement",1,90 FR 11781,2025-03989,11783,https://www.federalregister.gov/documents/2025/03/11/2025-03989/addressing-risks-from-perkins-coie-llp,https://www.govinfo.gov/content/pkg/FR-2025-03-11/pdf/2025-03989.pdf,Presidential Document,Executive Order,11781,"See: EO 14147, January 20, 2025; EO 14237, March 14, 2025; EO 14250, March 27, 2025; EO 14246, March 25, 2025; EO 14263, April 9, 2025",
2025-03-06,2025-03-11,14231,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border,Law Crime,"Public Order, Crime, and Border Enforcement",1,90 FR 11785,2025-03990,11786,https://www.federalregister.gov/documents/2025/03/11/2025-03990/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border,https://www.govinfo.gov/content/pkg/FR-2025-03-11/pdf/2025-03990.pdf,Presidential Document,Executive Order,11785,"See: EO 14193, February 1, 2025; EO 14257, April 2, 2025; EO 14289, April 29, 2025",
2025-03-06,2025-03-11,14232,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Southern Border,Law Crime,"Public Order, Crime, and Border Enforcement",1,90 FR 11787,2025-03991,11788,https://www.federalregister.gov/documents/2025/03/11/2025-03991/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-southern-border,https://www.govinfo.gov/content/pkg/FR-2025-03-11/pdf/2025-03991.pdf,Presidential Document,Executive Order,11787,"See: EO 14194, February 1, 2025; EO 14289, April 29, 2025",
2025-03-06,2025-03-11,14233,Establishment of the Strategic Bitcoin Reserve and United States Digital Asset Stockpile,Science Technology,"National Security, Defense, and Strategic Resilience",0.97,90 FR 11789,2025-03992,11791,https://www.federalregister.gov/documents/2025/03/11/2025-03992/establishment-of-the-strategic-bitcoin-reserve-and-united-states-digital-asset-stockpile,https://www.govinfo.gov/content/pkg/FR-2025-03-11/pdf/2025-03992.pdf,Presidential Document,Executive Order,11789,,
2025-03-07,2025-03-12,14235,Restoring Public Service Loan Forgiveness,Education,"Workforce, Training, and Retirement Security",0.99,90 FR 11885,2025-04103,11886,https://www.federalregister.gov/documents/2025/03/12/2025-04103/restoring-public-service-loan-forgiveness,https://www.govinfo.gov/content/pkg/FR-2025-03-12/pdf/2025-04103.pdf,Presidential Document,Executive Order,11885,,
2025-03-07,2025-03-12,14234,Establishing the White House Task Force on the FIFA World Cup 2026,International Affairs,Executive Coordination and Administrative Task Forces,1,90 FR 11883,2025-04102,11884,https://www.federalregister.gov/documents/2025/03/12/2025-04102/establishing-the-white-house-task-force-on-the-fifa-world-cup-2026,https://www.govinfo.gov/content/pkg/FR-2025-03-12/pdf/2025-04102.pdf,Presidential Document,Executive Order,11883,,
2025-03-14,2025-03-20,14236,Additional Rescissions of Harmful Executive Orders and Actions,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 13037,2025-04866,13038,https://www.federalregister.gov/documents/2025/03/20/2025-04866/additional-rescissions-of-harmful-executive-orders-and-actions,https://www.govinfo.gov/content/pkg/FR-2025-03-20/pdf/2025-04866.pdf,Presidential Document,Executive Order,13037,"Revokes: EO 13994, January 21, 2021; National Security Memo. 3, February 4, 2021; Memo. of February 4, 2021; EO 14026, April 27, 2021; Memo. of March 31, 2022; Presidential Determination No. 2022–13, May 18, 2022; Presidential Determination No. 2022–15, June 6, 2022; Presidential Determination No. 2022–16, June 6, 2022; Presidential Determination No. 2022–17, June 6, 2022; Presidential Determination No. 2022–18, June 6, 2022; EO 14081, September 12, 2022; Memo. of January 17, 2023; National Security Memorandum 18, February 23, 2023; Memo. of February 27, 2023; Memo. of November 16, 2023; EO 14112, December 6, 2023; EO 14119, March 6, 2024; EO 14126, September 6, 2024",
2025-03-14,2025-03-20,14237,Addressing Risks From Paul Weiss,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 13039,2025-04867,13041,https://www.federalregister.gov/documents/2025/03/20/2025-04867/addressing-risks-from-paul-weiss,https://www.govinfo.gov/content/pkg/FR-2025-03-20/pdf/2025-04867.pdf,Presidential Document,Executive Order,13039,"See: EO 14147, January 20, 2025; EO 14230, March 6, 2025
 Revoked by: EO 14244, March 21, 2025",
2025-03-14,2025-03-20,14238,Continuing the Reduction of the Federal Bureaucracy,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 13043,2025-04868,13044,https://www.federalregister.gov/documents/2025/03/20/2025-04868/continuing-the-reduction-of-the-federal-bureaucracy,https://www.govinfo.gov/content/pkg/FR-2025-03-20/pdf/2025-04868.pdf,Presidential Document,Executive Order,13043,,
2025-03-18,2025-03-21,14239,Achieving Efficiency Through State and Local Preparedness,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 13267,2025-04973,13269,https://www.federalregister.gov/documents/2025/03/21/2025-04973/achieving-efficiency-through-state-and-local-preparedness,https://www.govinfo.gov/content/pkg/FR-2025-03-21/pdf/2025-04973.pdf,Presidential Document,Executive Order,13267,"See: EO 12656, November 18, 1988; EO 13618, July 6, 2012; EO 13961, December 7, 2020; EO 14017, February 24, 2021; EO 14123, June 14, 2024; EO 14146, January 19, 2025; EO 14149, January 20, 2025; EO 14180; January 24, 2025",
2025-03-20,2025-03-25,14240,Eliminating Waste and Saving Taxpayer Dollars by Consolidating Procurement,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 13671,2025-05197,13672,https://www.federalregister.gov/documents/2025/03/25/2025-05197/eliminating-waste-and-saving-taxpayer-dollars-by-consolidating-procurement,https://www.govinfo.gov/content/pkg/FR-2025-03-25/pdf/2025-05197.pdf,Presidential Document,Executive Order,13671,,
2025-03-20,2025-03-25,14242,"Improving Education Outcomes by Empowering Parents, States, and Communities",Education,Education and Higher-Ed Transparency,1,90 FR 13679,2025-05213,13680,https://www.federalregister.gov/documents/2025/03/25/2025-05213/improving-education-outcomes-by-empowering-parents-states-and-communities,https://www.govinfo.gov/content/pkg/FR-2025-03-25/pdf/2025-05213.pdf,Presidential Document,Executive Order,13679,,
2025-03-20,2025-03-25,14243,"Stopping Waste, Fraud, and Abuse by Eliminating Information Silos",Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 13681,2025-05214,13682,https://www.federalregister.gov/documents/2025/03/25/2025-05214/stopping-waste-fraud-and-abuse-by-eliminating-information-silos,https://www.govinfo.gov/content/pkg/FR-2025-03-25/pdf/2025-05214.pdf,Presidential Document,Executive Order,13681,,
2025-03-20,2025-03-25,14241,Immediate Measures To Increase American Mineral Production,Commerce,"National Security, Defense, and Strategic Resilience",0.98,90 FR 13673,2025-05212,13677,https://www.federalregister.gov/documents/2025/03/25/2025-05212/immediate-measures-to-increase-american-mineral-production,https://www.govinfo.gov/content/pkg/FR-2025-03-25/pdf/2025-05212.pdf,Presidential Document,Executive Order,13673,"Amended by: EO 14261, April 8, 2025
 See: EO 14386, February 11, 2026",
2025-03-21,2025-03-26,14244,Addressing Remedial Action by Paul Weiss,,Executive Coordination and Administrative Task Forces,0.99,90 FR 13685,2025-05291,13686,https://www.federalregister.gov/documents/2025/03/26/2025-05291/addressing-remedial-action-by-paul-weiss,https://www.govinfo.gov/content/pkg/FR-2025-03-26/pdf/2025-05291.pdf,Presidential Document,Executive Order,13685,"Revokes: EO 14237, March 14, 2025",
2025-03-24,2025-03-27,14245,Imposing Tariffs on Countries Importing Venezuelan Oil,Trade,"Trade, Tariffs, and Export Promotion",1,90 FR 13829,2025-05440,13831,https://www.federalregister.gov/documents/2025/03/27/2025-05440/imposing-tariffs-on-countries-importing-venezuelan-oil,https://www.govinfo.gov/content/pkg/FR-2025-03-27/pdf/2025-05440.pdf,Presidential Document,Executive Order,13829,"See: EO 13692, March 8, 2015; EO 13808, August 24, 2017; EO 13850, November 1, 2018; EO 13884, August 5, 2019; Proc. 10903, March 14, 2025; Notice of February 18, 2026 (91 FR 8357); EO 14389, February 20, 2026",
2025-03-25,2025-03-28,14246,Addressing Risks From Jenner & Block,Law Crime,"Public Order, Crime, and Border Enforcement",1,90 FR 13997,2025-05519,13999,https://www.federalregister.gov/documents/2025/03/28/2025-05519/addressing-risks-from-jenner-and-block,https://www.govinfo.gov/content/pkg/FR-2025-03-28/pdf/2025-05519.pdf,Presidential Document,Executive Order,13997,"See: EO 14147, January 20, 2025; EO 14230, March 6, 2025",
2025-03-25,2025-03-28,14247,Modernizing Payments To and From America's Bank Account,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 14001,2025-05522,14003,https://www.federalregister.gov/documents/2025/03/28/2025-05522/modernizing-payments-to-and-from-americas-bank-account,https://www.govinfo.gov/content/pkg/FR-2025-03-28/pdf/2025-05522.pdf,Presidential Document,Executive Order,14001,"See: EO 14250, March 27, 2025",
2025-03-25,2025-03-28,14248,Preserving and Protecting the Integrity of American Elections,Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 14005,2025-05523,14010,https://www.federalregister.gov/documents/2025/03/28/2025-05523/preserving-and-protecting-the-integrity-of-american-elections,https://www.govinfo.gov/content/pkg/FR-2025-03-28/pdf/2025-05523.pdf,Presidential Document,Executive Order,14005,"See: EO 14019, March 7, 2021; EO 14148, January 20, 2025",
2025-03-25,2025-03-28,14249,"Protecting America's Bank Account Against Fraud, Waste, and Abuse",Public Admin,Executive Coordination and Administrative Task Forces,1,90 FR 14011,2025-05524,14015,https://www.federalregister.gov/documents/2025/03/28/2025-05524/protecting-americas-bank-account-against-fraud-waste-and-abuse,https://www.govinfo.gov/content/pkg/FR-2025-03-28/pdf/2025-05524.pdf,Presidential Document,Executive Order,14011,,
2025-03-27,2025-04-03,14250,Addressing Risks From WilmerHale,Law Crime,"Public Order, Crime, and Border Enforcement",1,90 FR 14549,2025-05845,14551,https://www.federalregister.gov/documents/2025/04/03/2025-05845/addressing-risks-from-wilmerhale,https://www.govinfo.gov/content/pkg/FR-2025-04-03/pdf/2025-05845.pdf,Presidential Document,Executive Order,14549,"See: EO 14147, January 20, 2025; EO 14230, March 6, 2025",
2025-03-27,2025-04-03,14251,Exclusions From Federal Labor-Management Relations Programs,Labor,"Workforce, Training, and Retirement Security",1,90 FR 14553,2025-05836,14557,https://www.federalregister.gov/documents/2025/04/03/2025-05836/exclusions-from-federal-labor-management-relations-programs,https://www.govinfo.gov/content/pkg/FR-2025-04-03/pdf/2025-05836.pdf,Presidential Document,Executive Order,14553,"Amends: EO 12171, November 19, 1979
 See: EO 14343, August 28, 2025",
2025-03-27,2025-04-03,14252,Making the District of Columbia Safe and Beautiful,Public Admin,Environmental Stewardship and Beautification,1,90 FR 14559,2025-05837,14561,https://www.federalregister.gov/documents/2025/04/03/2025-05837/making-the-district-of-columbia-safe-and-beautiful,https://www.govinfo.gov/content/pkg/FR-2025-04-03/pdf/2025-05837.pdf,Presidential Document,Executive Order,14559,"See: EO 13933, June 26, 2020; EO 14189, January 29, 2025; EO 14339, August 25, 2025; EO 14340, August 25, 2025",
2025-03-27,2025-04-03,14253,Restoring Truth and Sanity to American History,Education,Education and Higher-Ed Transparency,1,90 FR 14563,2025-05838,14565,https://www.federalregister.gov/documents/2025/04/03/2025-05838/restoring-truth-and-sanity-to-american-history,https://www.govinfo.gov/content/pkg/FR-2025-04-03/pdf/2025-05838.pdf,Presidential Document,Executive Order,14563,,
2025-03-31,2025-04-03,14255,Establishing the United States Investment Accelerator,Commerce,Domestic Investment and Market Competition,1,90 FR 14701,2025-05908,14702,https://www.federalregister.gov/documents/2025/04/03/2025-05908/establishing-the-united-states-investment-accelerator,https://www.govinfo.gov/content/pkg/FR-2025-04-03/pdf/2025-05908.pdf,Presidential Document,Executive Order,14701,,
2025-03-31,2025-04-03,14254,Combating Unfair Practices in the Live Entertainment Market,Commerce,Domestic Investment and Market Competition,1,90 FR 14699,2025-05906,14700,https://www.federalregister.gov/documents/2025/04/03/2025-05906/combating-unfair-practices-in-the-live-entertainment-market,https://www.govinfo.gov/content/pkg/FR-2025-04-03/pdf/2025-05906.pdf,Presidential Document,Executive Order,14699,,
2025-04-02,2025-04-07,14257,Regulating Imports With a Reciprocal Tariff To Rectify Trade Practices That Contribute to Large and Persistent Annual United States Goods Trade Deficits,Trade,"Trade, Tariffs, and Export Promotion",1,90 FR 15041,2025-06063,15109,https://www.federalregister.gov/documents/2025/04/07/2025-06063/regulating-imports-with-a-reciprocal-tariff-to-rectify-trade-practices-that-contribute-to-large-and,https://www.govinfo.gov/content/pkg/FR-2025-04-07/pdf/2025-06063.pdf,Presidential Document,Executive Order,15041,"See: Proc. 9704, March 8, 2018; Proc. 9705, March 8, 2018; Proc. 9980, January 24, 2020; Memo. of January 20, 2025; EO 14193, February 1, 2025; EO 14194, February 1, 2025; EO 14197, February 3, 2025; EO 14198, February 3, 2025; Proc. 10895, February 10, 2025; Proc. 10896, February 10, 2025; Memo. of February 13, 2025; EO 14227, March 2, 2025; EO 14231, March 2, 2025; Proc. 10908, March 26, 2025; EO 14256, April 2, 2025; EO 14259, April 8, 2025; EO 14266, April 9, 2025; EO 14298, May 12, 2025; EO 14309, June 16, 2025; EO 14316, July 7, 2025; Proc. 10962, July 30, 2025; EO 14323, July 30, 2025; EO 14324, July 30, 2025; EO 14326, July 31, 2025; EO 14329, August 6, 2025; EO 14334, August 11, 2025; EO 14345, September 4, 2025; EO 14346, September 5, 2025; Proc. 10976, September 29, 2025; EO 14360, November 14, 2025; Proc. 10999, December 29, 2025; Proc. 11002, January 14, 2026; EO 14388, February 20, 2026; EO 14389, February 20, 2026; Notice of March 24, 2026 (91 FR 15517)",
