Code_Name,Definition,Inclusion_Criteria,Exclusion_Criteria,Example_Excerpts,Number_of_Microtopics
Political Image,Mocks clothing as reflecting character and authenticity.,Apply when political image is central to the excerpt.,Do not apply when political image appears only in passing.,"{'title': ""Trump's Fashion Faux Pas"", 'description': ""The posts collectively mock Donald Trump's consistently ill-fitting, off-the-rack suits and excessively long red ties, highlighting his sartorial choices as emblematic of poor taste and vanity. The humor underscores how his appearance reflects broader critiques of his character and authenticity.""}; {'title': ""Trump's Height and Weight Discrepancies"", 'description': 'Multiple social media posts question the accuracy of Donald Trump\'s claimed height of 6\'3"" and weight of 224 lbs, citing visual comparisons, medical reports, and physical inconsistencies. Users speculate about the use of shoe lifts, weight-loss drugs like Ozempic, and deliberate misinformation, suggesting he is significantly shorter and heavier than stated.'}",2
Political Frustration,Expresses anger and blame toward voters' decisions.,Apply when political frustration is central to the excerpt.,Do not apply when political frustration appears only in passing.,"{'title': ""Outrage Over Trump Voters' Choices"", 'description': 'The posts express intense frustration and condemnation toward individuals who voted for Donald Trump, with many asserting they deserved the consequences of their decision. The sentiment centers on perceived hypocrisy, ignorance, and a belief that voters ignored clear warnings about Trump’s policies and character.'}; {'title': 'Trump Presidency Countdown: Days Until Exit', 'description': ""A collection of social media posts expressing frustration and anticipation over the remaining time of Donald Trump's presidency, tracking days, months, and years until his term ends with repeated calls for his departure and criticism of his leadership.""}",2
Political Protest,Coordinated public dissent using postcards and social media.,Apply when political protest is central to the excerpt.,Do not apply when political protest appears only in passing.,"{'title': 'Ides of Trump Postcard Protest', 'description': ""A coordinated campaign to flood the White House with postcards on March 15, expressing opposition to Donald Trump and symbolically declaring 'You're Fired.' Organized by pro-democracy groups, the effort aims to demonstrate widespread public dissent through mass mailings and social media sharing.""}; {'title': 'Hockey, Trump, and Political Protest', 'description': ""The posts center on the recent Canada vs. USA hockey game, where Canadian fans booed the U.S. national anthem in protest against Donald Trump's rhetoric, including his threats to annex Canada. The event has become a symbolic showdown between national pride and political defiance, with fans and commentators linking the game to broader tensions over U.S. leadership and sovereignty.""}",2
Public Funding Cuts,Reductions in federal support for public service and Native programs.,Apply when public funding cuts is central to the excerpt.,Do not apply when public funding cuts appears only in passing.,"{'title': 'Trump Admin Attacks AmeriCorps & Native Programs', 'description': 'A wave of federal cuts under the Trump administration has dismantled AmeriCorps, slashed funding for Native American institutions like Haskell Indian Nations University, and targeted tribal programs, sparking lawsuits and widespread outrage. Critics condemn the moves as unlawful, cruel, and a betrayal of public service and treaty obligations.'}; {'title': ""Trump's Attack on Libraries and Cultural Institutions"", 'description': 'A coordinated effort by the Trump administration to dismantle federal funding for libraries, museums, and cultural programs is triggering widespread cuts to services, e-books, and staff, while legal challenges and public resistance intensify. The attacks target both urban and rural communities, with disproportionate impacts on tribal, low-income, and marginalized populations.'}",2
Political Pressure,Describes efforts to influence events and appease Trump.,Apply when political pressure is central to the excerpt.,Do not apply when political pressure appears only in passing.,"{'title': ""Trump's Scottish Golf Courses Under Scrutiny"", 'description': ""Posts focus on the controversy surrounding Donald Trump's golf resorts in Scotland, including financial losses, vandalism by pro-Palestinian activists over his Gaza remarks, political pressure to host the Open Championship, and criticism of UK government efforts to appease Trump.""}; {'title': 'Trump Attacks CBS Over 60 Minutes Truth-Telling', 'description': ""The posts center on Donald Trump's backlash against CBS and its '60 Minutes' program, accusing it of being 'out of control' and calling for the network to be taken off the air. Critics view this as an attempt to intimidate the press and suppress truthful journalism, with many expressing outrage over perceived corporate cowardice in the face of political pressure.""}",2
Political Projection,Accuses others of behaviors the speaker themselves exhibits.,Apply when political projection is central to the excerpt.,Do not apply when political projection appears only in passing.,"{'title': ""Trump's Pattern of Projection"", 'description': ""The posts consistently highlight Donald Trump's tendency to accuse others of behaviors he himself engages in, illustrating a recurring pattern of psychological projection. This tactic, seen as a defense mechanism, is portrayed as a central feature of his rhetoric and political strategy.""}; {'title': 'MAGA Accusations as Confessions', 'description': ""These posts repeatedly assert that accusations made by MAGA supporters are not evidence of wrongdoing by others, but rather projections of their own guilt. The central theme is that MAGA's rhetoric reveals their true beliefs and actions through constant projection and hypocrisy.""}",2
Voter Suppression,Policies that limit voting access or disproportionately burden eligible voters.,Apply when voter suppression is central to the excerpt.,Do not apply when voter suppression appears only in passing.,"{'title': 'Voter ID Laws Target Married Women', 'description': ""Posts highlight how proposed voter ID laws, requiring proof of citizenship and matching names across documents, disproportionately affect married women—especially Republican-leaning ones—who changed their names at marriage. The backlash underscores concerns about voter suppression, systemic inequity, and the irony of these policies undermining the GOP's own base.""}; {'title': 'Voter Suppression Alleged in 2024 Election', 'description': 'A cluster of posts alleges widespread voter suppression in the 2024 U.S. election, citing investigative reporting by Greg Palast. The claims center on mass purges of voter rolls, challenges to ballots—especially from communities of color—and the impact on Kamala Harris’s popular vote total, suggesting Trump’s victory was due to systemic disenfranchisement rather than voter preference.'}",2
Education And Funding,Federal school funding tied to DEI programs and related litigation.,Apply when education and funding is central to the excerpt.,Do not apply when education and funding appears only in passing.,"{'title': ""Trump's DEI Funding Threats Spark Nationwide Pushback"", 'description': ""The Trump administration's directive to cut federal funding for schools with diversity, equity, and inclusion (DEI) programs has triggered widespread resistance, with 19 states, school districts, and unions filing lawsuits. Critics argue the move unlawfully redefines civil rights law, while supporters claim it prevents discrimination. Federal judges have blocked key aspects of the policy, citing legal overreach.""}; {'title': 'Trump vs. Harvard: Funding Battle and Extortion Allegations', 'description': 'A series of posts detail the escalating conflict between the Trump administration and Harvard University, centered on frozen federal research funds, financial pressure tactics, and claims of a $500 million settlement. Critics argue the administration is using legal and financial leverage to extort Harvard over ideological disagreements, while Harvard resists what many see as an abuse of power.'}",2
Education Credential,Questions legitimacy and merit of academic attainment.,Apply when education credential is central to the excerpt.,Do not apply when education credential appears only in passing.,"{'title': ""Trump's Wharton Degree: Legitimacy Under Scrutiny"", 'description': ""Multiple posts question the authenticity and merit of Donald Trump's bachelor's degree in economics from the Wharton School, citing claims from former professors that he was the 'dumbest student ever' and allegations that his father paid for his admission and graduation. The cluster highlights skepticism over his academic achievements and their relevance to his later business and political decisions.""}; {'title': ""Trump's Education: Scam or Scam?"", 'description': ""The posts collectively challenge Donald Trump's academic credentials, referencing allegations of fraud, lack of genuine education, and the infamous Trump University. They highlight claims from former professors, family members, and critics that Trump was a poor student, possibly cheated to get in, and that his degrees lack legitimacy.""}",2
Political Retribution,Frames policies as revenge against perceived enemies.,Apply when political retribution is central to the excerpt.,Do not apply when political retribution appears only in passing.,"{'title': ""Trump's Revenge Tour: A Vindictive Presidency"", 'description': ""The posts collectively depict Donald Trump's second presidency as driven by a relentless pursuit of revenge against those he believes wronged him, particularly the American public for rejecting him in 2020. This narrative frames his policies and actions as personal retribution rather than governance, highlighting narcissism, grudges, and a desire for humiliation over accountability.""}; {'title': 'Trump Admin Revokes 37 Security Clearances', 'description': 'The Trump administration, under Director of National Intelligence Tulsi Gabbard, revoked security clearances for 37 current and former national security officials, citing alleged politicization of intelligence. Critics argue the move is politically motivated retribution, particularly targeting those involved in Russia election interference assessments.'}",2
Political Loyalty,Highlights prioritizing fealty over competence or ethics.,Apply when political loyalty is central to the excerpt.,Do not apply when political loyalty appears only in passing.,"{'title': ""Trump's Cabinet: Loyalty Over Competence"", 'description': ""The posts criticize Donald Trump's pattern of appointing unqualified, loyalists to cabinet positions, emphasizing that political loyalty and sycophancy are prioritized over experience, competence, or ethics. The recurring theme highlights a systemic selection of individuals deemed morally or professionally unfit, reinforcing a culture of fealty and dysfunction.""}; {'title': 'Trump’s Replacement Appointments: Worse Than Before', 'description': 'The posts express concern that any removal of Trump-aligned officials will be followed by replacements who are even more extreme, incompetent, or loyal to Trump, perpetuating a cycle of poor leadership and undermining accountability.'}",2
Canada U S Sovereignty,Calls to bar Trump from Canada and assert national border control.,Apply when canada u s sovereignty is central to the excerpt.,Do not apply when canada u s sovereignty appears only in passing.,"{'title': 'Ban Trump from Canada over Felony Status', 'description': 'A wave of Canadian social media posts calls for barring Donald Trump from attending the 2025 G7 summit in Canada due to his status as a convicted felon. Citizens are urging the government to enforce immigration laws and reject any exceptions, while also targeting Elon Musk’s citizenship over his ties to Trump.'}; {'title': ""King Charles & Canada's Sovereignty in Trump Era"", 'description': ""The posts center on the political and symbolic tension surrounding King Charles III as Canada's head of state amid Donald Trump's repeated threats to annex Canada. They highlight public frustration over the monarchy's perceived silence, the irony of Trump's state visit invitation, and the constitutional reality that Canada remains a Commonwealth realm under the British Crown.""}",2
Authoritarian Tactics,Frames rhetoric as delegitimizing sovereignty using authoritarian escalation patterns.,Apply when authoritarian tactics is central to the excerpt.,Do not apply when authoritarian tactics appears only in passing.,"{'title': ""Trump's Canada Rhetoric Mirrors Putin's Ukraine Pretext"", 'description': ""The posts draw alarming parallels between Donald Trump's recent statements about Canada and Vladimir Putin's rhetoric before the invasion of Ukraine, suggesting a coordinated effort to delegitimize Canadian sovereignty and justify potential aggression. Many view this as a dangerous escalation rooted in authoritarian playbook tactics.""}; {'title': ""Trump's National Guard Move: Distraction from Epstein Files"", 'description': ""The posts collectively allege that Donald Trump's deployment of the National Guard to Washington, D.C., is a deliberate attempt to divert attention from his alleged connections to Jeffrey Epstein and the suppressed Epstein files. Critics claim the move is an authoritarian tactic to suppress public scrutiny and prevent the release of incriminating evidence.""}",2
Fascism And Extremism,Frames Trump and allies as subversive to democracy.,Apply when fascism and extremism is central to the excerpt.,Do not apply when fascism and extremism appears only in passing.,"{'title': 'Calls to Prosecute Trump for Treason', 'description': 'The posts collectively demand that Donald Trump and his allies be charged with treason, citing actions they believe constitute betrayal of the United States. The rhetoric is intense, calling for impeachment, arrest, and even capital punishment, framing Trump’s policies and rhetoric as criminal and subversive to democracy.'}; {'title': 'Left and Right: Echoes of Extremism', 'description': 'These posts critique the perceived ideological convergence between far-left activists and MAGA supporters, highlighting shared traits like dogmatism, intolerance, performative outrage, and echo chamber behavior—despite opposing political positions. The central theme is the growing frustration that both extremes mirror each other in rhetoric and tactics, blurring the lines between them.'}",2
Russia Influence,Frames the party as compromised by Kremlin control.,Apply when russia influence is central to the excerpt.,Do not apply when russia influence appears only in passing.,"{'title': 'Republican Party Accused of Being Russian Asset', 'description': 'The posts collectively accuse the Republican Party of being compromised by Russia, with many claiming it has fully aligned with Putin’s interests, abandoned its historical anti-Soviet stance, and become a tool of Russian influence. The rhetoric frames the party as traitorous, ideologically inverted, and under Kremlin control.'}; {'title': 'Republican Party Accused of Being Russian Asset', 'description': ""These posts collectively accuse the Republican Party of being under Russian influence or control, alleging collusion with Putin, betrayal of U.S. interests, and alignment with Kremlin objectives. The claims center on Trump's ties to Russia and the party's perceived loyalty to foreign agendas over American values.""}",2
Military Respect,Critiques Trump’s disrespect toward veterans and Purple Heart recipients.,Apply when military respect is central to the excerpt.,Do not apply when military respect appears only in passing.,"{'title': ""Trump's Purple Heart Controversy"", 'description': ""The posts criticize Donald Trump for claiming equivalence to Purple Heart recipients, despite having avoided military service and receiving the medal from supporters. They highlight his self-aggrandizing remarks at a White House ceremony and mock his fabricated 'wartime' experiences, emphasizing disrespect toward veterans' sacrifices.""}; {'title': ""Trump's Contempt for the Military"", 'description': ""A cluster of posts expressing outrage over Donald Trump's repeated derogatory remarks toward U.S. military personnel, including calling them 'suckers and losers,' disrespecting fallen soldiers and veterans, and using the military for political gain while showing no genuine respect for their service or sacrifice.""}",2
Political Repression,Use of federal power to punish dissenting organizations.,Apply when political repression is central to the excerpt.,Do not apply when political repression appears only in passing.,"{'title': ""Trump's Push to Target Nonprofits"", 'description': ""A controversial provision in a Republican-led tax bill would grant President Trump unchecked power to revoke the tax-exempt status of any nonprofit deemed a 'terrorist supporter,' raising alarms about political repression, free speech, and the weaponization of federal authority against dissenting organizations.""}; {'title': 'Trump Stickers on Cars: A Cultural Flashpoint', 'description': 'These posts capture the polarizing presence of Trump-related vehicle decals, reflecting deep political divisions, absurd juxtapositions, and personal reactions ranging from mockery to outrage. The recurring imagery highlights how cars have become battlegrounds for ideological expression in American culture.'}",2
Courts Doj Legal,DOJ restructuring and attorney resignations over civil rights enforcement.,Apply when courts doj legal is central to the excerpt.,Do not apply when courts doj legal appears only in passing.,"{'title': 'Mass Exodus from DOJ Civil Rights Division', 'description': ""Over 70% of the DOJ's Civil Rights Division attorneys have resigned in protest after the Trump administration reshaped the division to enforce political agendas, abandoning its core mission of protecting civil rights. The exodus reflects widespread ethical concerns over defending policies deemed unconstitutional or unjust.""}; {'title': 'Trump Sues Murdoch Over Epstein Letter', 'description': 'President Trump has filed a $10 billion defamation lawsuit against The Wall Street Journal, Rupert Murdoch, and two reporters over a story alleging he sent a sexually suggestive birthday note to Jeffrey Epstein in 2003. The lawsuit, seen as a high-stakes legal gamble, risks exposing more details about Trump’s ties to the convicted sex offender.'}",2
Political Mockery,Mocks MAGA boycott efforts through irony and humor.,Apply when political mockery is central to the excerpt.,Do not apply when political mockery appears only in passing.,"{'title': 'MAGA Boycotting Harvard: The Irony Is Real', 'description': 'These posts mock the idea of MAGA supporters boycotting Harvard, highlighting the absurdity given that most would never be admitted due to educational, financial, or intellectual barriers. The humor centers on the irony and impossibility of the boycott, turning it into a viral meme.'}; {'title': ""Trump's Handshake Controversy and Hand Size Obsession"", 'description': ""The posts revolve around widespread scrutiny and mockery of Donald Trump's small hand size, his awkward and aggressive handshake style, and his apparent efforts to conceal his right hand. The discussion blends humor, political criticism, and speculation about his health and personality.""}",2
Political Deflection,Refusal to admit mistakes or offer apologies to critics.,Apply when political deflection is central to the excerpt.,Do not apply when political deflection appears only in passing.,"{'title': ""Trump's Refusal to Apologize"", 'description': ""The posts collectively highlight a recurring theme: Donald Trump's consistent refusal to admit mistakes or offer apologies, which critics view as a hallmark of his leadership style and a sign of deeper issues in his character and political philosophy.""}; {'title': ""MAGA's Blame-Shifting Culture"", 'description': 'The posts collectively highlight the recurring pattern of MAGA supporters and their allies deflecting responsibility for political and societal failures onto Democrats, Biden, Obama, and other scapegoats, regardless of factual context or evidence. This consistent blame-shifting is portrayed as a core feature of MAGA ideology, rooted in denial, cognitive dissonance, and loyalty to Trump.'}",2
Transactional Politics,Views political behavior as self-serving exchange for personal gain.,Apply when transactional politics is central to the excerpt.,Do not apply when transactional politics appears only in passing.,"{'title': ""Trump's Transactional Nature"", 'description': ""The posts consistently emphasize Donald Trump's perceived transactional behavior, framing his actions as self-serving exchanges where personal gain is always the primary motive. The recurring theme is that every decision, relationship, or policy is viewed through the lens of quid pro quo, with little regard for mutual benefit or public good.""}; {'title': ""Trump's Transactional Nature"", 'description': ""The posts consistently emphasize that Donald Trump's actions are driven solely by personal gain, with every decision framed as a quid pro quo. The recurring theme is that nothing Trump does is altruistic—everything is transactional, benefiting him personally.""}",2
Political Conspiracy,"Advances claims of manipulation, treason, or covert political schemes.",Apply when political conspiracy is central to the excerpt.,Do not apply when political conspiracy appears only in passing.,"{'title': 'Trump and the CIA: Conspiracy and Conflict', 'description': ""These posts revolve around intense skepticism and conspiracy theories regarding Donald Trump's relationship with the CIA, alleging political manipulation, treason, and the erosion of intelligence integrity under his leadership. Many claim the CIA is compromised, politicized, or even working against Trump’s interests, reflecting deep distrust in both the agency and the former president.""}; {'title': 'Elon Musk and Trump Election Conspiracy Claims', 'description': 'A cluster of posts alleging that Elon Musk played a key role in rigging the 2024 U.S. election for Donald Trump, citing public statements, technical access via Starlink, and statistical anomalies in swing states. The claims frame the election as illegitimate due to alleged digital interference and collusion between Musk, Trump, and foreign actors.'}",2
Public Backlash,Highlights widespread criticism of Cook's actions and silence.,Apply when public backlash is central to the excerpt.,Do not apply when public backlash appears only in passing.,"{'title': ""Tim Cook's Trump Alliance Sparks Backlash"", 'description': 'Apple CEO Tim Cook faces widespread criticism for attending a White House event with Trump and Melania shortly after a Border Patrol agent killed a Veterans Affairs nurse. Critics accuse him of prioritizing corporate interests over ethics, citing his gift of a gold bar to Trump and his apparent silence on systemic violence.'}; {'title': 'Growing Public Backlash Against ICE', 'description': 'A surge in public opposition to Immigration and Customs Enforcement (ICE) has emerged, with majorities across the country disapproving of its tactics and supporting abolition. Polls show declining approval, especially among independents and even some Republicans, as violent enforcement actions and high-profile incidents fuel outrage.'}",2
Racial Tokenism,Describes symbolic Black appointments used as diversity cover.,Apply when racial tokenism is central to the excerpt.,Do not apply when racial tokenism appears only in passing.,"{'title': ""Trump's Pattern of Token Black Appointments to HUD"", 'description': ""The posts critique Donald Trump's repeated selection of Black individuals for the Department of Housing and Urban Development (HUD), highlighting a perceived pattern of racial tokenism. Critics argue that Trump equates 'urban' with 'Black' and uses HUD as a symbolic 'diversity' checkbox, often appointing unqualified candidates while ignoring broader racial equity in his administration.""}",1
Authoritarian Extremism,"Far-right ties, extremist views, and Nazi-linked affiliations.",Apply when authoritarian extremism is central to the excerpt.,Do not apply when authoritarian extremism appears only in passing.,"{'title': ""Trump's Controversial Counterterrorism Pick"", 'description': ""Sebastian Gorka, a far-right commentator with ties to a Nazi-linked Hungarian group and Islamophobic views, has been appointed to a senior national security role in Trump's second administration. His nomination has sparked widespread criticism over his extremist affiliations, lack of expertise, and history of failing security clearance.""}",1
Self Defense Debate,"Discusses Krav Maga's practicality, effectiveness, and ethics.",Apply when self defense debate is central to the excerpt.,Do not apply when self defense debate appears only in passing.,"{'title': 'Krav Maga: Power, Controversy, and Self-Defense', 'description': 'This cluster explores Krav Maga through personal experiences, debates on its effectiveness, and critiques of its militaristic origins and aggressive techniques. Posts highlight its appeal as a practical self-defense system, while also questioning its ethics, real-world applicability, and cultural associations.'}",1
Political Rhetoric,Bizarre campaign language suggesting confusion about asylum and mental asylums.,Apply when political rhetoric is central to the excerpt.,Do not apply when political rhetoric appears only in passing.,"{'title': ""Trump's Obsession with Hannibal Lecter"", 'description': ""The posts revolve around Donald Trump's repeated, bizarre references to the fictional serial killer Hannibal Lecter during campaign speeches, sparking widespread confusion and satire. Many interpret his comments as a misinformed conflation of 'asylum' seekers with mental asylums, revealing deeper concerns about his grasp of reality and rhetoric.""}",1
New Code Representation,Focuses on Sam Wilson's reception as Captain America.,Apply when new code representation is central to the excerpt.,Do not apply when new code representation appears only in passing.,"{'title': 'Captain America: Politics, Legacy, and the New Era', 'description': ""This cluster explores the cultural and political significance of Captain America across comics and the MCU, focusing on themes of patriotism, anti-fascism, and the character's evolving legacy. It highlights debates around representation, ideological messaging, and the reception of Sam Wilson as the new Captain America in *Brave New World*.""}",1
New Code Sports Performance,"Highlights athletic dominance, victories, and record-setting form across competitions.",Apply when new code sports performance is central to the excerpt.,Do not apply when new code sports performance appears only in passing.,"{'title': ""Judd Trump's Dominant Snooker Run"", 'description': ""The posts center on Judd Trump's impressive performances across multiple tournaments, including victories at the UK Championship, German Masters, and Riyadh Season Snooker Championship. His consistent form, record-breaking achievements, and rivalry with top players like Barry Hawkins and Kyren Wilson dominate the narrative.""}",1
Rivalry And Competition,Focuses on matchups and competitive tension with other top players.,Apply when rivalry and competition is central to the excerpt.,Do not apply when rivalry and competition appears only in passing.,"{'title': ""Judd Trump's Dominant Snooker Run"", 'description': ""The posts center on Judd Trump's impressive performances across multiple tournaments, including victories at the UK Championship, German Masters, and Riyadh Season Snooker Championship. His consistent form, record-breaking achievements, and rivalry with top players like Barry Hawkins and Kyren Wilson dominate the narrative.""}",1
Loyalty Screening,Prioritizing allegiance over expertise and constitutional duty.,Apply when loyalty screening is central to the excerpt.,Do not apply when loyalty screening appears only in passing.,"{'title': ""Trump Team's Loyalty Purge at NSC"", 'description': 'Incoming Trump administration officials are questioning career civil servants at the National Security Council about their voting history, political contributions, and social media activity, raising concerns about political loyalty over constitutional duty and institutional expertise.'}",1
News Media Communication,Public discussion urging archiving to preserve transparency and records.,Apply when news media communication is central to the excerpt.,Do not apply when news media communication appears only in passing.,"{'title': ""Trump Admin's Website Overhaul and Data Purge"", 'description': ""The posts document widespread concerns over the Trump administration's immediate changes to federal websites, including the replacement of the White House site with propaganda content, the deletion of historical data, and the potential loss of public information. Users urge archiving critical government resources to preserve transparency and prevent historical revisionism.""}",1
Education And Debt,Student loan forgiveness and higher education affordability concerns.,Apply when education and debt is central to the excerpt.,Do not apply when education and debt appears only in passing.,"{'title': 'Student Loan Forgiveness: Politics, Power, and Partisan Battles', 'description': 'These posts center on the political fight over student loan forgiveness, highlighting the contrast between Biden’s efforts to cancel debt and Republican opposition, including court challenges and proposed legislation. The debate underscores broader concerns about economic justice, executive power, and the future of higher education under a potential Trump administration.'}",1
Civil Rights Rollback,Reversal of protections against workplace discrimination.,Apply when civil rights rollback is central to the excerpt.,Do not apply when civil rights rollback appears only in passing.,"{'title': ""Trump Revokes LBJ's Civil Rights Employment Order"", 'description': 'President Trump revoked Executive Order 11246, a 1965 directive by Lyndon B. Johnson that banned discrimination in federal hiring and contracting. The move has sparked widespread concern over the rollback of civil rights protections and the potential for increased workplace discrimination.'}",1
Corruption Concerns,Highlights undisclosed donations and transparency problems.,Apply when corruption concerns is central to the excerpt.,Do not apply when corruption concerns appears only in passing.,"{'title': ""Trump's Secret Money Transition"", 'description': 'Donald Trump is bypassing standard transition protocols by refusing to disclose donors funding his incoming administration, raising concerns about corruption and lack of transparency. His decision to reject federal funds allows unlimited, undisclosed contributions from wealthy individuals and foreign entities.'}",1
Political Betrayal,Perceived abandonment of progressive principles for opportunism.,Apply when political betrayal is central to the excerpt.,Do not apply when political betrayal appears only in passing.,"{'title': ""Fetterman's Shift Sparks Democratic Backlash"", 'description': ""A wave of outrage among Democrats follows Sen. John Fetterman's meetings with Donald Trump and his apparent embrace of MAGA-aligned positions, with critics accusing him of betrayal, opportunism, and compromising his progressive principles.""}",1
Housing Affordability,"Concerns about housing costs, shortages, and access.",Apply when housing affordability is central to the excerpt.,Do not apply when housing affordability appears only in passing.,"{'title': 'Trump, Housing, and the Affordability Crisis', 'description': ""These posts critique Trump's promises to fix the housing crisis, arguing his policies would worsen affordability. They highlight the disconnect between rhetoric and reality, emphasizing that housing shortages stem from systemic issues like zoning, supply constraints, and private equity speculation—problems Trump’s approach fails to address.""}",1
Constitutional Debate,Concerns about separation of church and state and government neutrality.,Apply when constitutional debate is central to the excerpt.,Do not apply when constitutional debate appears only in passing.,"{'title': ""Trump's Faith Office Sparks Constitutional Debate"", 'description': ""The posts critique President Trump's creation of a White House Faith Office and an anti-Christian bias task force, highlighting concerns over the separation of church and state, the controversial appointment of televangelist Paula White, and the perception that the move serves a political, not religious, agenda.""}",1
Political Exploitation,Using religion and faith symbols for personal or political profit.,Apply when political exploitation is central to the excerpt.,Do not apply when political exploitation appears only in passing.,"{'title': ""Trump's Bible Merchandising Scandal"", 'description': ""The posts mock Donald Trump's promotion of branded Bibles, highlighting the absurdity of a political figure selling religious texts for profit, often with fabricated claims, celebrity endorsements, and controversial additions like the lyrics to 'God Bless the USA.' The satire underscores concerns about the commercialization of faith and political exploitation.""}",1
Tesla Subsidies,Tesla benefits from existing subsidies amid policy conflict.,Apply when tesla subsidies is central to the excerpt.,Do not apply when tesla subsidies appears only in passing.,"{'title': ""Trump's EV Policy Shift Sparks Industry Turmoil"", 'description': ""A cluster of posts highlights concerns over Donald Trump's proposed rollback of federal electric vehicle incentives, charging infrastructure funding, and climate-related policies. Many express alarm over the potential impact on clean energy jobs, consumer affordability, and the U.S. auto industry’s competitiveness—especially as Tesla benefits from existing subsidies amid growing political tension between Trump and Elon Musk.""}",1
White House Transition,Return to the presidency and commencement of a new administration.,Apply when white house transition is central to the excerpt.,Do not apply when white house transition appears only in passing.,"{'title': ""Trump's Second Inauguration: A New Era Begins"", 'description': 'Donald J. Trump was sworn in as the 47th President of the United States on January 20, 2025, marking his return to the White House for a second non-consecutive term. The inauguration, held indoors due to extreme weather, was followed by immediate executive actions and widespread political reaction.'}",1
Financial Exploitation,Describes avoiding payments and prioritizing personal profit over obligations.,Apply when financial exploitation is central to the excerpt.,Do not apply when financial exploitation appears only in passing.,"{'title': ""Trump's Pattern of Avoiding Payments"", 'description': ""The posts consistently highlight Donald Trump's history of failing to pay bills, especially for campaign events, and his tendency to prioritize personal profit over financial responsibility. Many emphasize that cities and contractors are left with unpaid debts, reinforcing a recurring theme of Trump exploiting systems for financial gain.""}",1
Political Embarrassment,Portrays Trump as a global laughing stock and disgrace.,Apply when political embarrassment is central to the excerpt.,Do not apply when political embarrassment appears only in passing.,"{'title': ""Trump's Global Embarrassment"", 'description': ""These posts express widespread criticism of Donald Trump's international reputation, with users collectively condemning him as a global laughing stock, a national embarrassment, and a threat to America's standing in the world. The sentiment centers on the belief that Trump's behavior has damaged U.S. credibility and invited mockery from global leaders and citizens alike.""}",1
Shadow Power,Perceived behind-the-scenes control by an unelected wealthy figure.,Apply when shadow power is central to the excerpt.,Do not apply when shadow power appears only in passing.,"{'title': ""Elon Musk's Hidden Power Over the GOP"", 'description': ""These posts express widespread concern that Elon Musk, though not on the ballot, wields disproportionate influence over the Republican Party and Trump's agenda through financial threats and primary challenges. Many voters feel misled, believing they elected Trump but effectively empowered Musk as a shadow ruler.""}",1
Political Absurdity,Highlights disconnect from everyday life and absurd anecdotes.,Apply when political absurdity is central to the excerpt.,Do not apply when political absurdity appears only in passing.,"{'title': ""Trump's Grotesque Grocery Myths"", 'description': ""A satirical cluster mocking Donald Trump's repeated, factually baseless claims about grocery shopping, including his assertion that he 'invented' the word 'groceries' and his ignorance of basic store practices like refrigerated apples. The posts highlight his disconnect from everyday life and the absurdity of his anecdotes.""}",1
Military Ban,Ban on transgender service members and its military impacts.,Apply when military ban is central to the excerpt.,Do not apply when military ban appears only in passing.,"{'title': ""Trump's Trans Military Ban Sparks Outcry"", 'description': ""Posts condemn President Trump's executive order banning transgender service members from the U.S. military, highlighting its impact on military readiness, legal challenges, and the personal sacrifices of trans veterans. The move is criticized as politically motivated and harmful to national security.""}",1
Trans Identity Debate,"Focuses on trans identity, political loyalty, and deadnaming ethics.",Apply when trans identity debate is central to the excerpt.,Do not apply when trans identity debate appears only in passing.,"{'title': ""Caitlyn Jenner's Identity in the Crossfire of Politics and Trans Rights"", 'description': 'The posts center on the controversy surrounding Caitlyn Jenner’s public support for Donald Trump, sparking debate over trans identity, political loyalty, and the ethics of deadnaming. While some criticize her for aligning with anti-trans policies, others argue that her gender identity should not be invalidated by her political views.'}",1
Political Health Decline,"Claims of dementia, cognitive decline, and erratic behavior.",Apply when political health decline is central to the excerpt.,Do not apply when political health decline appears only in passing.,"{'title': ""Trump's Alleged Dementia and Cognitive Decline"", 'description': 'Multiple social media posts express concern that Donald Trump is experiencing significant cognitive decline, with many attributing his erratic behavior to dementia, possibly inherited from his father. The posts call for greater scrutiny of his mental fitness for office and highlight symptoms such as memory lapses, incoherence, and delusions.'}",1
Trade And Resources,Exchange of military support for mineral access.,Apply when trade and resources is central to the excerpt.,Do not apply when trade and resources appears only in passing.,"{'title': ""Trump's Rare Earths-for-Aid Deal with Ukraine"", 'description': ""U.S. President Donald Trump proposes exchanging military aid to Ukraine for guaranteed access to the country's vast reserves of rare earth elements and critical minerals. The plan has sparked international debate over resource exploitation, strategic interests, and the transactional nature of foreign policy.""}",1
White House Retaliation,Presidential punishment of opponents through administrative actions.,Apply when white house retaliation is central to the excerpt.,Do not apply when white house retaliation appears only in passing.,"{'title': ""Trump's Retaliatory Clearance Revocations"", 'description': ""A cluster of posts discussing Donald Trump's actions to revoke security clearances and intelligence briefings for Joe Biden and other officials, framed as political revenge for similar actions taken by Biden in 2021. Critics argue the moves are petty, legally questionable, and undermine national security norms.""}",1
